system:index,AREASYMBOL,FA,Fail_Type,MUKEY,MUSYM,Note,Notes,Shape_Leng,Structure_,Type,aspectD_60,aspectU_60,berm_angle,berm_elev,channel_1000m,channel_100m,channel_10m,channel_200m,channel_500m,channel_700m,compare,convD_60,convU_60,id,landform,latitude,longitude,other_dist,other_elev,road_dist,saviD_60,saviU_60,savi_background,slopeD_100,slopeD_200,slopeD_60,slopeU_100,slopeU_200,slopeU_60,slope_100,slope_200,surf_clayD_60,surf_clayU_60,surf_clay_background,surf_claybg,surf_sandD_60,surf_sandU_60,surf_sand_background,surf_sandbg,surfsocD_60,surfsocU_60,surfsoc_background,surfsocbg,zD_60,zU_60,.geo
00000000000000000157,AZ669,31.726010455899715,,53799,29,TCD,,51.5046433885,,Berm,0.0,0.0,-72.02934312679581,796.9137729905125,0.5678166910328689,0.0,0.0,0.0,0.16855139994144064,0.3745556480118487,1,0.32862368880279,0.020370280881127616,00000000000000000157,0,32.058856997382186,-111.37859103023438,79.37753354126838,798.1149376839264,27.577391669272686,0.13506959088991988,0.09001856052794391,0.11630737708781366,-1.3314322541733645,-1.3898158540006307,0.46986013911369656,1.3314322541733645,1.3898158540006307,0.705695124015809,1.3314322541733645,1.3898158540006307,25.0,24.636033994334273,25.199023421385764,25.0,52.0,51.81801699716713,51.116035368526134,52.0,1.0,1.0,1.0,1.0,797.2148396147466,798.1385028904757,"{""type"":""LineString"",""coordinates"":[[-111.37851833349913,32.059081124855794],[-111.3786637266134,32.0586328698671]]}"
00000000000000000159,AZ669,42.02718661059427,,53799,29,TCD,,83.6817074987,,Berm,30.53918457031247,80.3797607421875,-41.091469501235316,796.921225321539,0.8637843803549129,0.0,0.0,0.0,0.3632319711887543,0.5532804739914609,1,-0.12751018690731353,-0.01052929280463185,00000000000000000159,0,32.058695199234435,-111.37577704725737,141.41800687743518,796.223959566367,257.38929682888977,0.1190524092143648,0.07390109890109892,0.09484881327729291,-0.6163785566725437,-0.7107880575615582,0.21914508311226658,0.6163785566725437,0.7107880575615582,0.25011161126485604,0.6163785566725437,0.7107880575615582,27.0,27.0,26.25814819633738,27.0,48.0,48.0,48.8032839066733,48.0,1.0,1.0,1.0,1.0,795.7856453214107,796.1346772846423,"{""type"":""LineString"",""coordinates"":[[-111.37608619785414,32.05842558985506],[-111.37546789483842,32.058964807863426]]}"
00000000000000000162,AZ669,37.57748443872076,,53807,30,TCD,,56.2663188048,,Berm,-130.28099978833012,49.71896362304685,79.00682009796762,,1.0,0.16901097577137633,0.019016638353754785,0.3056898109661332,0.5947195816917857,0.8298020505777034,0,0.22048242535922463,-0.39493208341582636,00000000000000000162,0,32.05997446510272,-111.34333893414814,42598.50587937323,783.3585494192024,123.32916280207588,0.14114129864680583,0.10485021398002851,0.10501221603260066,-0.9455139196636536,-0.9026514834283716,-1.017705298288547,0.9455139196636536,0.9026514834283716,1.2996335876575433,0.9455139196636536,0.9026514834283716,27.0,24.760745891276862,23.83280265290414,27.0,46.0,47.34355246523389,47.40800353155087,46.0,1.0,1.0,1.0,1.0,782.8321714061901,783.3949764926074,"{""type"":""LineString"",""coordinates"":[[-111.34327260733042,32.059727820983795],[-111.34337375767643,32.060058934845216],[-111.3433691180516,32.060224641329135]]}"
00000000000000000166,AZ669,9.130316035895433,,53799,29,TCD,,38.3333331984,,Berm,-30.53887939453122,-21.47003173828122,-74.49152903885206,796.3907627460086,0.9490297544452913,0.0,0.0,0.01653914406856986,0.6045781512730226,0.8089321060873805,1,-0.341861506698352,0.02698396391074181,00000000000000000166,0,32.057297022672586,-111.3768598322993,54.15766274826304,796.9130249023438,151.67692681838165,0.0786063110443276,0.1111486812868322,0.0927098068358157,-1.4169921875001137,-1.3791164760171455,0.37940131293377516,1.4169921875001137,1.3791164760171455,0.5749511718748105,1.4169921875001137,1.3791164760171455,27.0,27.2476401179941,25.803717165472808,27.0,49.0,48.281268436578166,49.1514116961394,49.0,1.0,1.0,1.0,1.0,796.4396126039567,797.0095343229768,"{""type"":""LineString"",""coordinates"":[[-111.37681319510514,32.05746509414775],[-111.37690646932214,32.057128951180346]]}"
0000000000000000016d,AZ669,75.83703599550054,,53807,30,TCD,,32.2532354825,,Berm,30.538955688476477,-130.28189010763876,-3.9666545379462055,787.4208874557563,1.0,0.5108796701237032,0.06954142196676247,0.7213644883168812,0.9453205048106962,1.0,0,-0.04716752552100919,-0.025887738100330092,0000000000000000016d,0,32.057577262693194,-111.3538482025512,28.01836902755934,787.486083984375,1133.7037119642887,0.11939382494570869,0.09496611810261377,0.0991065313305302,-0.8083350337108186,-0.8098642990926237,0.07148246410016175,0.8083350337108186,0.8098642990926237,0.26484666964696163,0.8083350337108186,0.8098642990926237,29.0,24.0,22.81784217069959,29.0,46.0,47.0,49.41089473256739,46.0,1.0,1.0,1.0,1.0,786.9705673420427,787.3551187045032,"{""type"":""LineString"",""coordinates"":[[-111.3540181599922,32.05757559094779],[-111.35378151380522,32.057571773450405],[-111.35368170717886,32.05759892125938]]}"
0000000000000000016e,AZ669,34.611378091872794,,53807,30,TCD,,32.0853235053,,Berm,2.842170943040401E-14,49.718189303005374,-20.008950390108907,787.4808314150139,1.0,0.6180612626073966,0.08138837006599438,0.8176677873241194,0.9805366704021914,1.0,0,-0.028766710120476015,-0.13304115411601466,0000000000000000016e,0,32.057816940934785,-111.3533854412007,38.157121085882736,787.1943926706188,1119.1108252957752,0.10783588985400108,0.09459934910722137,0.10015287517618948,-0.6039937775101407,-0.6409164206679634,0.053489000008539726,0.6039937775101407,0.6409164206679634,0.2770711577837422,0.6039937775101407,0.6409164206679634,29.0,26.56972111553785,22.68806072552358,29.0,46.0,46.486055776892435,49.500625708981204,46.0,1.0,1.0,1.0,1.0,786.8338791554157,787.1621743907099,"{""type"":""LineString"",""coordinates"":[[-111.35354034976216,32.05776053129426],[-111.3532305324482,32.057873350386906]]}"
00000000000000000170,AZ669,3.221395125465242,,53844,5,TCD,,45.6729273196,,Berm,130.2837415922067,-30.537277221679716,-51.962446744064245,791.3222370042658,1.0,0.30004573811088925,0.03100193323728083,0.5465652021766273,0.8586565530476289,1.0,1,0.1955808386843067,-2.7019508655724547,00000000000000000170,0,32.05141230274501,-111.35447028926686,197.67992660582775,790.4921875,705.53973709455,0.10638081690713269,0.10756972111553789,0.10202690226429494,-2.310133689289273,-0.16881036139153593,0.6386797248863255,2.310133689289273,0.16881036139153593,-4.076137814983743,2.310133689289273,0.16881036139153593,22.394201424211605,28.0,23.32521270936103,26.748313090418357,48.19760935910479,45.0,47.14780381268899,45.53643724696356,1.0,1.0,1.0,1.0,789.7612782949016,790.0544226715949,"{""type"":""LineString"",""coordinates"":[[-111.3546037137589,32.05124175731721],[-111.3543368642775,32.05158284803306]]}"
00000000000000000171,AZ669,6.8880945706008765,,53807,30,TCD,,71.9303533218,,Berm,-180.0,-90.00000000000001,76.38153301922877,791.70360491856,1.0,0.3228746554443924,0.033504626484717456,0.5716505619711763,0.7522460970711577,0.9993163388901146,0,-0.28982514200946285,-0.08622413185913673,00000000000000000171,0,32.050266611866256,-111.35618542073844,77.08467765517933,791.2796959687722,772.6947883275184,0.09565437089439109,0.09763651958448488,0.10204158346215027,-3.3776085290783158,-1.1388968331473848,1.6950683593749243,3.3776085290783158,1.1388968331473848,0.5055718311880734,3.3776085290783158,1.1388968331473848,21.0,28.94095434260213,23.403756802009205,23.078449469312414,48.0,43.03690353587368,46.876553125436004,46.70096908167975,1.0,1.0,1.0,1.0,790.0071754210327,791.2714935557756,"{""type"":""LineString"",""coordinates"":[[-111.3560710278815,32.0499613522507],[-111.35621424246305,32.05028338162932],[-111.3562517251037,32.05045792680659],[-111.356220645419,32.050578926029495]]}"
00000000000000000176,AZ669,12.955333188311212,,53897,80,TCD,,29.7021782517,,Berm,-180.0,-180.0,-22.493767839583448,823.8824707428872,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.03167057075752033,-0.3994560317992657,00000000000000000176,0,32.024781253115464,-111.40077030605379,114.55842928869733,820.7639770507812,133.31509880469025,0.12411853967687225,0.12124381894256372,0.12347091274799425,-0.957064309815678,-0.7757415771484375,0.3906662011259717,0.957064309815678,0.7757415771484375,0.5228015248125454,0.957064309815678,0.7757415771484375,23.0,23.0,22.95817611011235,23.0,52.0,52.0,49.149435042678746,52.0,1.0,1.0,1.0,1.0,820.3224513057248,820.658157486794,"{""type"":""LineString"",""coordinates"":[[-111.40091197848795,32.024722588408565],[-111.40062863343816,32.024839917664856]]}"
00000000000000000177,AZ669,26.412801402893464,,53897,80,TCD,,16.3563736816,,Berm,-158.53713607788086,-130.29235076904297,-28.90520211143724,822.8956345515463,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.21665424854197626,-0.17714200371899003,00000000000000000177,0,32.02364880883806,-111.4005971666953,114.24693227421274,821.7529907226562,156.30136483609533,0.12314065147806436,0.11256162132554319,0.12251139652533612,-0.61004638671875,-0.6315102726585451,0.19809299045145204,0.61004638671875,0.6315102726585451,0.17885399873932784,0.61004638671875,0.6315102726585451,21.020479812756,21.0,22.680907718426983,21.0,50.020479812756015,50.0,49.423086707184176,50.0,1.0,1.0,1.0,1.0,821.2945098876953,821.5955113002232,"{""type"":""LineString"",""coordinates"":[[-111.40067058161938,32.02360827288623],[-111.40052375170625,32.0236893447476]]}"
